code_store;po_no;barcode;qty;modal_karton
358937;2518-PO-PM1-05-18;8999999030179;144;4161
358937;2518-PO-PM1-05-18;8999999030186;96;10203
358937;2518-PO-PM1-05-18;8999999037819;144;5325
358937;2518-PO-PM1-05-18;8999999710880;288;5638
358937;2518-PO-PM1-05-18;8999999710866;240;12926
358937;2518-PO-PM1-05-18;8999999710873;216;8502
358937;2518-PO-PM1-05-18;8999999715588;96;12977
358937;2518-PO-PM1-05-18;8999999028695;288;3132
358937;2518-PO-PM1-05-18;8999999028701;144;7765
358937;2518-PO-PM1-05-18;8999999707774;288;5745
