code_store;po_no;barcode;qty;modal_karton
358970;2516-PO-PM1-05-18;8999999001094;48;11366
358970;2516-PO-PM1-05-18;8999999027254;108;7025
358970;2516-PO-PM1-05-18;8999999027278;72;11366
358970;2516-PO-PM1-05-18;8999999027261;48;18973
358970;2516-PO-PM1-05-18;8999999001247;108;7025
358970;2516-PO-PM1-05-18;8999999001209;48;18973
358970;2516-PO-PM1-05-18;8999999001230;108;7025
358970;2516-PO-PM1-05-18;8999999518776;120;20018
358970;2516-PO-PM1-05-18;8999999059323;432;2244
358970;2516-PO-PM1-05-18;8999999524791;720;2244
