code_store;po_no;barcode;qty;modal_karton
358970;2514-PO-PM1-05-18;9300830006472;12;29309
358970;2514-PO-PM1-05-18;9300830022557;24;29221
358970;2514-PO-PM1-05-18;8851932305297;48;14588
358970;2514-PO-PM1-05-18;4800888141125;36;29221
358970;2514-PO-PM1-05-18;9300830038527;36;29221
358970;2514-PO-PM1-05-18;8999999004248;48;12792
358970;2514-PO-PM1-05-18;8999999023997;48;9397
358970;2514-PO-PM1-05-18;8999999024468;48;16602
358970;2514-PO-PM1-05-18;8999999052140;432;1700
358970;2514-PO-PM1-05-18;8999999707842;240;8502
