code_store;po_no;barcode;qty;modal_karton
358970;2517-PO-PM1-05-18;8999999046989;180;6846
358970;2517-PO-PM1-05-18;8999999053291;72;12522
358970;2517-PO-PM1-05-18;8999999053307;72;6867
358970;2517-PO-PM1-05-18;8999999501594;1;3276
358970;2517-PO-PM1-05-18;8999999036942;48;11187
358970;2517-PO-PM1-05-18;8999999044091;72;15800
358970;2517-PO-PM1-05-18;8999999036676;720;2513
358970;2517-PO-PM1-05-18;8999999036621;72;14453
358970;2517-PO-PM1-05-18;8999999036652;72;14453
358970;2517-PO-PM1-05-18;8999999516307;182;3272
